epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,573.161,1.51544,1.94792,1.06701,0.32249,0.2955,0.19855,0.10954,0.85201,197.397,0.61399,0.00333257,0.00333257,0.00333257
2,1095.72,1.47311,1.50358,1.05266,0.34259,0.30594,0.21109,0.11744,0.83159,182.732,0.6045,0.00653392,0.00653392,0.00653392
3,1607.41,1.48964,1.43834,1.06279,0.33748,0.30382,0.20839,0.11674,0.82147,187.913,0.60394,0.00960327,0.00960327,0.00960327
4,2114.61,1.47215,1.39658,1.05833,0.34895,0.33026,0.22967,0.13182,0.79738,199.4,0.59639,0.009406,0.009406,0.009406
5,2622.72,1.4305,1.35011,1.04234,0.36796,0.34668,0.24709,0.14372,0.78258,208.482,0.59094,0.009208,0.009208,0.009208
6,3129.05,1.40336,1.32048,1.03283,0.37545,0.35948,0.25609,0.15002,0.77161,208.883,0.58649,0.00901,0.00901,0.00901
7,3636.04,1.38572,1.29901,1.02685,0.38076,0.37115,0.266,0.15679,0.76505,214.122,0.58337,0.008812,0.008812,0.008812
8,4141.58,1.37748,1.28922,1.02111,0.38121,0.37792,0.27038,0.15992,0.76045,218.113,0.5816,0.008614,0.008614,0.008614
9,4648.17,1.36509,1.27508,1.01757,0.3907,0.38449,0.27618,0.16341,0.75645,220.394,0.58024,0.008416,0.008416,0.008416
10,5152.59,1.35761,1.27004,1.01496,0.39239,0.3858,0.27925,0.166,0.75337,219.769,0.57874,0.008218,0.008218,0.008218
11,5658.41,1.35273,1.26207,1.01257,0.39989,0.38864,0.28364,0.16867,0.7509,221.402,0.57781,0.00802,0.00802,0.00802
12,6163.01,1.34555,1.25504,1.01071,0.40279,0.39244,0.2863,0.17064,0.74872,222.902,0.57694,0.007822,0.007822,0.007822
13,6669.21,1.34185,1.25057,1.0086,0.40191,0.39549,0.28763,0.17164,0.74734,223.313,0.57645,0.007624,0.007624,0.007624
14,7174.98,1.33707,1.24753,1.00724,0.40374,0.39666,0.28893,0.17244,0.74628,223.417,0.57606,0.007426,0.007426,0.007426
15,7680.21,1.33197,1.24076,1.00506,0.40444,0.39936,0.29033,0.17333,0.7452,223.547,0.57558,0.007228,0.007228,0.007228
16,8183.72,1.33096,1.23755,1.00339,0.40653,0.39954,0.29111,0.17383,0.74416,223.847,0.57504,0.00703,0.00703,0.00703
17,8688.9,1.32355,1.23316,1.00078,0.40652,0.40075,0.29225,0.17467,0.74333,224.075,0.57458,0.006832,0.006832,0.006832
18,9195.07,1.31944,1.22411,0.99963,0.40541,0.403,0.29326,0.17545,0.74252,224.465,0.57413,0.006634,0.006634,0.006634
19,9699.88,1.31801,1.22269,0.99811,0.4075,0.40276,0.29403,0.1759,0.74167,224.563,0.57369,0.006436,0.006436,0.006436
20,10204.9,1.3139,1.22186,0.99713,0.40743,0.40432,0.295,0.17666,0.7409,224.247,0.57327,0.006238,0.006238,0.006238
21,10710.8,1.3103,1.21869,0.99579,0.40863,0.40558,0.29646,0.17777,0.74022,224.138,0.57291,0.00604,0.00604,0.00604
22,11214.9,1.30948,1.21608,0.99505,0.41,0.40653,0.29769,0.17868,0.73955,224.266,0.57253,0.005842,0.005842,0.005842
23,11718.7,1.3057,1.21252,0.99404,0.41066,0.40738,0.29879,0.17952,0.73891,224.519,0.5722,0.005644,0.005644,0.005644
24,12220.2,1.30594,1.20739,0.99282,0.41134,0.40844,0.2997,0.18029,0.73825,224.674,0.5718,0.005446,0.005446,0.005446
25,12724.7,1.30291,1.20874,0.99201,0.41204,0.4094,0.3008,0.18114,0.73758,224.855,0.57142,0.005248,0.005248,0.005248
26,13228.2,1.3001,1.20283,0.99096,0.41296,0.41085,0.30197,0.18193,0.73699,225.106,0.57109,0.00505,0.00505,0.00505
27,13731.8,1.29593,1.2005,0.9889,0.41531,0.41169,0.30335,0.18288,0.73627,225.389,0.57072,0.004852,0.004852,0.004852
28,14236.8,1.29406,1.19946,0.9894,0.41518,0.4135,0.30445,0.18361,0.7356,225.292,0.57039,0.004654,0.004654,0.004654
29,14741.5,1.28924,1.19488,0.98702,0.41527,0.41532,0.3051,0.18403,0.73489,225.231,0.57001,0.004456,0.004456,0.004456
30,15245.2,1.28991,1.19736,0.98822,0.41632,0.416,0.30643,0.18505,0.7342,225.316,0.56966,0.004258,0.004258,0.004258
31,15747.3,1.28886,1.18849,0.98644,0.41744,0.41731,0.30732,0.1856,0.73352,225.458,0.56929,0.00406,0.00406,0.00406
32,16251.6,1.28174,1.1864,0.98442,0.41844,0.41955,0.30861,0.1865,0.73292,225.48,0.56894,0.003862,0.003862,0.003862
33,16754.8,1.27996,1.18536,0.98331,0.41956,0.42052,0.31012,0.18767,0.73222,225.525,0.56854,0.003664,0.003664,0.003664
34,17258.8,1.27645,1.1824,0.98167,0.41992,0.42272,0.31121,0.18844,0.73156,225.519,0.56816,0.003466,0.003466,0.003466
35,17762,1.27482,1.17957,0.98036,0.42121,0.42289,0.31231,0.1892,0.73088,225.291,0.56776,0.003268,0.003268,0.003268
36,18264.1,1.27225,1.17484,0.97946,0.42181,0.42471,0.31347,0.19018,0.73009,224.665,0.56733,0.00307,0.00307,0.00307
37,18768.7,1.26778,1.17253,0.97881,0.42237,0.42485,0.3148,0.19126,0.72934,224.389,0.56694,0.002872,0.002872,0.002872
38,19270.8,1.26588,1.17212,0.97768,0.42432,0.425,0.31573,0.19196,0.72867,223.815,0.56663,0.002674,0.002674,0.002674
39,19774.3,1.26213,1.16332,0.97691,0.42404,0.42637,0.31635,0.19231,0.72807,223.699,0.56629,0.002476,0.002476,0.002476
40,20278,1.25855,1.16341,0.9755,0.42455,0.42813,0.3179,0.19348,0.72734,223.508,0.56588,0.002278,0.002278,0.002278
41,20778.6,1.28997,1.17867,0.97834,0.42601,0.42769,0.31875,0.19414,0.72682,221.9,0.56562,0.00208,0.00208,0.00208
42,21276.3,1.28521,1.17423,0.97568,0.42703,0.42829,0.31931,0.1947,0.72622,220.323,0.56525,0.001882,0.001882,0.001882
43,21772.6,1.28031,1.16867,0.97341,0.42797,0.42844,0.31995,0.19522,0.72572,219.124,0.56489,0.001684,0.001684,0.001684
44,22269,1.27868,1.16516,0.97338,0.42872,0.42953,0.32068,0.19567,0.72515,218.061,0.56454,0.001486,0.001486,0.001486
45,22764,1.2739,1.16366,0.97143,0.42984,0.42886,0.32139,0.19605,0.72465,217.248,0.56426,0.001288,0.001288,0.001288
46,23260.7,1.26906,1.1563,0.96979,0.43165,0.42901,0.32218,0.19663,0.72418,216.422,0.56394,0.00109,0.00109,0.00109
47,23755.9,1.26563,1.15363,0.96882,0.43122,0.43062,0.32301,0.19739,0.72365,215.815,0.56366,0.000892,0.000892,0.000892
48,24249.6,1.25871,1.14733,0.96538,0.43317,0.43015,0.32407,0.19805,0.72316,215.602,0.56336,0.000694,0.000694,0.000694
49,24745.5,1.25413,1.14066,0.96524,0.43421,0.43141,0.32499,0.19852,0.72272,215.394,0.56308,0.000496,0.000496,0.000496
50,25240.6,1.24899,1.13559,0.96361,0.43504,0.43325,0.32621,0.1994,0.72229,215.495,0.56284,0.000298,0.000298,0.000298
