src,tgt,tau,p_combined,weight_mean,weight_std,n_scenes,total_observations
q05_ttc_eff,q90_closing_rate,1,0.0,0.6858310216758475,0.12408847357432683,92,92
min_distance_proxy,q10_risk_speed,1,0.0,0.6852785739481836,0.15505259288473147,77,77
q90_closing_rate,min_distance_proxy,1,0.0,0.6811999605713179,0.14508080600370085,130,130
min_distance_proxy,q90_closing_rate,1,0.0,0.6801180411178263,0.15144294225537028,113,113
ped_count,obj_count,1,1.103006574965093e-11,0.6772300116880591,0.2392851273031089,2,2
obj_count,q05_ttc_eff,2,0.0,0.6768148556085164,0.14224184243121096,75,75
min_distance_proxy,q90_closing_rate,2,0.0,0.67561016126078,0.14320481962748696,99,99
q05_ttc_eff,q05_ttc_eff,2,0.0,0.6751569564361046,0.1415267445104392,178,178
q10_risk_speed,q05_ttc_eff,2,0.0,0.6733079801995013,0.14657052555959527,93,93
ego_speed,ego_accel,1,0.0,0.6730173727215444,0.12958916116038535,434,434
ego_accel,ego_accel,1,0.0,0.6725474496595023,0.09790539083091272,911,911
q10_risk_speed,q05_ttc_eff,1,0.0,0.672269522285427,0.15086773906213266,108,108
q90_closing_rate,q10_risk_speed,1,0.0,0.6696933362581573,0.1458501310888589,95,95
q10_risk_speed,q90_closing_rate,1,0.0,0.6689049192420227,0.1344627594366136,90,90
q90_closing_rate,min_distance_proxy,2,0.0,0.668634279275629,0.14508829860374334,112,112
ped_count,q10_risk_speed,2,6.328271240363392e-15,0.6680677404709323,0.16067217516913246,4,4
q90_closing_rate,q05_ttc_eff,2,0.0,0.6666511149378866,0.1340030018562968,88,88
obj_count,min_distance_proxy,2,0.0,0.6629850353138992,0.13795486297901988,83,83
q05_ttc_eff,obj_count,2,0.0,0.66139020045037,0.13096272658429678,65,65
q90_closing_rate,q10_risk_speed,2,0.0,0.6584946445184194,0.13813766716614992,77,77
obj_count,q10_risk_speed,1,0.0,0.6571937042998176,0.13022376575387393,69,69
ego_accel,ego_speed,1,0.0,0.6567745502116052,0.13161882615415502,208,208
q10_risk_speed,obj_count,1,0.0,0.6565074572583554,0.1269009375035356,68,68
obj_count,q10_risk_speed,2,0.0,0.6545154289501947,0.12573609496383287,66,66
ego_speed,ego_speed,2,0.0,0.6526066427412256,0.14278850163205842,226,226
obj_count,ego_speed,2,0.0,0.6521223111805519,0.12838851310336472,44,44
q10_risk_speed,ego_speed,2,0.0,0.6451194813164881,0.1135798234445326,53,53
q05_ttc_eff,ego_speed,2,0.0,0.6446014314144348,0.12905511382870527,55,55
obj_count,ego_speed,1,0.0,0.6422529780258475,0.13431211539951465,43,43
q05_ttc_eff,q90_closing_rate,2,0.0,0.6421668803558018,0.11838540495808597,74,74
q90_closing_rate,ego_speed,2,0.0,0.6421173759655223,0.12363551761029161,61,61
q90_closing_rate,ped_count,1,5.574870565183687e-10,0.6416077323553911,0.1659060765445406,3,3
q10_risk_speed,q90_closing_rate,2,0.0,0.6405621537130264,0.14033893763485178,70,70
min_distance_proxy,ego_speed,2,0.0,0.6401639505149456,0.11462278573591647,61,61
ego_speed,q05_ttc_eff,2,0.0,0.6354552017831016,0.10259700362601216,60,60
min_distance_proxy,ego_speed,1,0.0,0.6352510264164292,0.12452541013444848,63,63
ego_speed,min_distance_proxy,1,0.0,0.6337893733313074,0.13210065057007503,54,54
q10_risk_speed,obj_count,2,0.0,0.6333516464644577,0.13588807374439882,53,53
q10_risk_speed,ego_speed,1,0.0,0.631191265029452,0.12324274828306275,65,65
q10_risk_speed,ped_count,1,1.5225598559709397e-12,0.6302184429576563,0.22921036624016058,3,3
ego_speed,min_distance_proxy,2,0.0,0.6292824340743005,0.13388965381008677,48,48
q10_risk_speed,ego_accel,1,0.0,0.6288891061660252,0.1165873151863547,54,54
ego_speed,obj_count,2,0.0,0.6273518440171375,0.12523843954032077,38,38
obj_count,ego_accel,2,0.0,0.6271470980145931,0.1039547098478882,35,35
q90_closing_rate,ego_speed,1,0.0,0.6256669595986112,0.11911003969736678,66,66
ego_accel,obj_count,1,0.0,0.6244142464848456,0.11250832216622442,48,48
q05_ttc_eff,ego_speed,1,0.0,0.6221863549363457,0.13351037631351287,55,55
ego_speed,q10_risk_speed,2,0.0,0.6212791417942518,0.13665086924143288,60,60
ego_speed,q10_risk_speed,1,0.0,0.6182557224340706,0.12594212795832813,77,77
ego_accel,q10_risk_speed,1,0.0,0.6178878173715678,0.11380295145479377,49,49
ego_speed,q90_closing_rate,1,0.0,0.6170298401901174,0.11510724698941402,74,74
ego_accel,q90_closing_rate,1,0.0,0.6144933725335545,0.09866093339520123,67,67
q05_ttc_eff,ped_count,1,3.582195835516444e-07,0.6139868209495851,0.05253008143471094,2,2
ego_speed,ego_accel,2,0.0,0.6139799998014096,0.12942158056924316,130,130
